Year, TotVolume , Totvalue ,DividendPaid, DividendYield ,SECTOR
2020," 637,551,715.00 "," 9,809,413,753.66 ",4," 3,907,820,000.00 ",AGRICULTURE
2020," 5,376,294,891.00 "," 12,732,898,052.99 ",0.56," 3,041,072,029.09 ",CONGLOMERATES
2020," 537,117,738.00 "," 4,732,497,377.22 ",2.1," 3,204,500,000.00 ",CONSTRUCTION/REAL ESTATE
2020," 4,707,396,951.00 "," 129,903,541,529.07 ",75.4," 131,498,977,301.27 ",CONSUMER GOODS
2020," 13,196,186.00 "," 56,662,058,903.78 ",0, -   ,ETPS
2020," 64,387,098,420.00 "," 594,552,380,195.31 ",12.365," 387,263,554,984.03 ",FINANCIAL SERVICES
2020," 1,144,904.00 "," 1,336,872,304.15 ",0, -   ,FIXED INCOME SECURITIES
2020," 1,549,740,783.00 "," 4,183,023,918.36 ",0.95," 1,433,290,231.15 ",HEALTHCARE
2020," 1,765,127,975.00 "," 94,177,867,349.40 ",14.26," 199,592,091,280.57 ",ICT
2020," 3,099,811,152.00 "," 127,028,269,903.51 ",4.86," 77,420,096,784.27 ",INDUSTRIAL GOODS
2020," 196,650,621.00 "," 113,430,395.49 ",0.3," 164,832,903.60 ",NATURAL RESOURCES
2020," 2,362,678,308.00 "," 29,714,905,931.30 ",53.015," 28,272,007,818.63 ",OIL AND GAS
2020," 1,614,374,707.00 "," 3,698,173,579.25 ",1.44," 3,246,968,964.35 ",SERVICES
2021," 1,314,354,804.00 "," 15,224,549,316.06 ",10," 9,677,370,000.00 ",AGRICULTURE
2021," 6,734,019,321.00 "," 20,391,702,803.62 ",1.76," 6,848,003,270.19 ",CONGLOMERATES
2021," 1,754,738,760.00 "," 8,621,741,491.83 ",0.5," 644,500,000.00 ",CONSTRUCTION/REAL ESTATE
2021," 5,803,399,930.00 "," 127,423,949,282.04 ",66.58," 110,676,352,959.84 ",CONSUMER GOODS
2021," 9,164,462.00 "," 34,220,971,479.43 ",0, -   ,ETPS
2021," 55,425,214,446.00 "," 466,163,880,771.60 ",14.9," 438,616,873,544.91 ",FINANCIAL SERVICES
2021," 3,361,901.00 "," 3,503,187,912.32 ",0, -   ,FIXED INCOME SECURITIES
2021," 599,605,124.00 "," 2,721,849,034.22 ",1.02," 1,868,787,452.31 ",HEALTHCARE
2021," 2,922,447,350.00 "," 104,348,287,809.12 ",16.2," 162,576,580,553.78 ",ICT
2021," 1,697,496,651.00 "," 67,524,479,219.70 ",24.93," 376,549,630,078.30 ",INDUSTRIAL GOODS
2021," 435,217,030.00 "," 308,796,646.06 ",0.59," 294,517,546.00 ",NATURAL RESOURCES
2021," 2,849,146,977.00 "," 51,690,325,740.95 ",61.32," 32,403,563,658.08 ",OIL AND GAS
2021," 1,336,633,684.00 "," 3,045,801,545.11 ",0.65," 1,018,011,529.00 ",SERVICES
2022," 694,294,639.00 "," 24,345,784,512.63 ",19," 18,216,470,000.00 ",AGRICULTURE
2022," 6,012,800,628.00 "," 14,850,619,947.44 ",1.17," 5,046,157,625.38 ",CONGLOMERATES
2022," 874,106,732.00 "," 4,173,358,283.80 ",2.5," 4,000,000,000.00 ",CONSTRUCTION/REAL ESTATE
2022," 4,890,540,243.00 "," 172,539,345,260.20 ",69.32," 197,244,566,544.93 ",CONSUMER GOODS
2022," 5,472,987.00 "," 211,019,413.70 ",0, -   ,ETPS
2022," 42,161,502,689.00 "," 351,684,426,519.44 ",15.255," 466,860,402,563.83 ",FINANCIAL SERVICES
2022," 3,747,451.00 "," 3,896,733,124.49 ",0, -   ,FIXED INCOME SECURITIES
2022," 441,883,721.00 "," 2,356,296,753.62 ",0.82," 1,354,832,207.96 ",HEALTHCARE
2022," 3,371,490,176.00 "," 198,600,159,868.46 ",26.8," 344,964,294,094.87 ",ICT
2022," 1,303,830,207.00 "," 79,626,631,009.68 ",22.81," 355,477,267,560.20 ",INDUSTRIAL GOODS
2022," 493,803,919.00 "," 532,905,906.08 ",0.5," 109,978,000.00 ",NATURAL RESOURCES
2022," 2,067,893,705.00 "," 62,563,528,820.64 ",67.3," 34,829,903,372.50 ",OIL AND GAS
2022," 1,438,275,593.00 "," 3,951,410,411.56 ",0.955," 1,895,111,563.62 ",SERVICES
2022," 164,496,161.00 "," 17,923,039,159.20 ",0, -   ,UTILITIES
2023," 1,731,938,368.00 "," 25,998,910,158.21 ",25.3," 24,539,515,000.00 ",AGRICULTURE
2023," 14,196,205,871.00 "," 51,400,857,414.84 ",0.97," 5,269,153,779.52 ",CONGLOMERATES
2023," 674,424,457.00 "," 8,355,078,585.55 ",0.1," 4,500,000.00 ",CONSTRUCTION/REAL ESTATE
2023," 4,666,044,346.00 "," 155,978,794,491.72 ",14.82," 154,096,911,418.22 ",CONSUMER GOODS
2023," 70,827,227.00 "," 1,045,491,451.04 ",0, -   ,ETPS
2023," 82,100,386,313.00 "," 927,070,064,346.15 ",18.04," 569,765,680,179.62 ",FINANCIAL SERVICES
2023," 3,859,302.00 "," 3,835,812,013.83 ",0, -   ,FIXED INCOME SECURITIES
2023," 2,057,854,179.00 "," 8,088,857,755.63 ",0.85," 1,175,302,534.20 ",HEALTHCARE
2023," 4,160,958,721.00 "," 197,004,623,376.12 ",37.88," 411,213,020,110.12 ",ICT
2023," 2,079,912,511.00 "," 159,197,987,604.03 ",28.64," 467,677,053,167.78 ",INDUSTRIAL GOODS
2023," 9,805,595.00 "," 2,034,642,904.30 ",0, -   ,INVESTMENT
2023," 303,568,905.00 "," 1,651,492,580.74 ",0.45," 241,086,898.20 ",NATURAL RESOURCES
2023," 6,575,187,002.00 "," 95,440,081,339.65 ",124.82," 69,651,221,790.02 ",OIL AND GAS
2023," 3,116,456,998.00 "," 14,407,425,879.34 ",2.215," 4,586,826,069.42 ",SERVICES
2023," 355,408,001.00 "," 95,791,848,750.50 ",8," 20,000,000,000.00 ",UTILITIES
2024," 3,262,344,095.00 "," 43,808,351,507.85 ",24," 22,893,840,000.00 ",AGRICULTURE
2024," 7,505,365,791.00 "," 113,857,448,286.18 ",1.22," 7,381,639,835.12 ",CONGLOMERATES
2024," 1,957,831,713.00 "," 51,729,003,264.48 ",3.08," 4,803,600,000.00 ",CONSTRUCTION/REAL ESTATE
2024," 5,970,446,557.00 "," 199,254,582,867.09 ",10.15," 112,774,525,816.75 ",CONSUMER GOODS
2024," 18,731,008.00 "," 870,690,511.34 ",0, -   ,ETPS
2024," 87,449,863,742.00 "," 1,356,948,191,835.66 ",22.9," 713,092,107,655.74 ",FINANCIAL SERVICES
2024," 7,375,883.00 "," 7,316,591,685.52 ",0, -   ,FIXED INCOME SECURITIES
2024," 589,725,533.00 "," 3,637,086,520.42 ",1.05," 2,494,568,230.80 ",HEALTHCARE
2024," 4,048,683,597.00 "," 131,979,348,330.15 ",96.29," 361,675,076,296.96 ",ICT
2024," 2,444,335,196.00 "," 110,163,757,240.01 ",36.9," 607,309,143,696.90 ",INDUSTRIAL GOODS
2024," 19,392,261.00 "," 1,541,928,758.80 ",0, -   ,INVESTMENT
2024," 100,873,625.00 "," 802,057,511.18 ",0.55," 296,031,199.40 ",NATURAL RESOURCES
2024," 8,635,630,755.00 "," 411,326,942,127.97 ",269.66," 184,952,045,804.18 ",OIL AND GAS
2024," 4,821,085,520.00 "," 34,009,285,329.18 ",3.765," 9,221,434,682.25 ",SERVICES
2024," 400,004,200.00 "," 154,283,659,203.70 ",12.63," 54,725,000,000.00 ",UTILITIES
2025," 5,417,283,066.00 "," 186,189,368,762.45 ",138," 134,958,060,000.00 ",AGRICULTURE
2025," 2,136,881,727.00 "," 82,644,978,905.55 ",2.57," 18,746,263,201.57 ",CONGLOMERATES
2025," 1,791,537,766.00 "," 21,579,669,174.69 ",3.25," 5,200,000,000.00 ",CONSTRUCTION/REAL ESTATE
2025," 8,604,782,501.00 "," 381,678,721,033.32 ",18.15," 251,398,101,521.65 ",CONSUMER GOODS
2025," 9,505,965.00 "," 856,183,663.26 ",0, -   ,ETPS
2025," 100,056,030,983.00 "," 1,856,136,894,549.37 ",33.51," 1,041,514,485,693.58 ",FINANCIAL SERVICES
2025," 7,325,360.00 "," 6,874,949,958.84 ",0, -   ,FIXED INCOME SECURITIES
2025," 1,053,540,800.00 "," 13,161,272,830.89 ",1.4," 2,985,090,229.40 ",HEALTHCARE
2025," 5,938,036,268.00 "," 262,424,737,429.18 ",103.065," 387,427,629,901.97 ",ICT
2025," 3,611,922,130.00 "," 261,176,502,727.34 ",40.8," 643,099,439,170.10 ",INDUSTRIAL GOODS
2025," 1,021,985,959.00 "," 15,637,227,796.85 ",2.5," 19,002,736,500.00 ",INVESTMENT
2025," 228,441,427.00 "," 1,851,993,129.16 ",0.1," 42,619,386.80 ",NATURAL RESOURCES
2025," 6,837,427,478.00 "," 510,960,946,273.51 ",316.69," 261,967,329,641.09 ",OIL AND GAS
2025," 10,065,858,618.00 "," 73,331,799,011.46 ",8.72," 21,710,472,429.52 ",SERVICES
2025," 197,375,560.00 "," 132,592,835,365.60 ",13.5," 58,750,000,000.00 ",UTILITIES
